sender time_ms
0	330.200
0	546.400
0	875.000
0	1020.600
0	1713.500
0	2359.400
0	2585.400
0	2638.500
0	2894.200
0	3746.200
0	3981.500
0	4233.100
0	4900.500
0	4946.800
0	5297.000
0	6113.100
0	7048.700
0	7340.000
0	7626.200
0	7745.100
0	8100.800
0	8252.900
0	9156.400
0	9258.800
0	10294.200
0	10765.500
0	10976.200
1	2191.200
1	2879.200
1	3433.700
1	6034.400
1	6498.400
1	6649.300
1	6685.500
2	2773.000
2	4333.300
2	5101.700
2	5433.500
2	6790.400
2	6864.600
2	8230.500
2	8505.301
2	10134.601
4	5932.200
5	119.800
5	535.900
5	729.700
5	819.900
5	1460.000
5	1860.200
5	2252.100
5	2320.500
5	2381.900
5	2831.100
5	3634.100
5	3824.900
5	4071.100
5	4432.400
5	4473.100
5	5228.700
5	5468.800
5	5491.800
5	7146.500
5	7302.000
5	7437.700
5	8468.700
5	9569.601
5	10006.101
5	10476.500
5	10517.000
6	1170.900
6	4473.200
6	5564.900
7	1006.700
7	1276.900
7	10108.900
8	2585.600
8	3092.900
8	4566.000
8	4694.600
8	5078.500
8	5272.300
8	9025.000
8	9284.000
8	10280.800
8	10514.800
9	3262.600
9	3445.700
9	4744.600
10	1034.200
11	1471.000
11	7287.700
11	7535.800
12	7.400
12	485.000
12	627.700
12	980.700
12	1511.500
12	3024.100
12	4055.100
12	8865.500
12	10778.500
13	366.500
13	1639.700
13	1847.100
13	1885.000
13	7072.100
13	7286.700
14	931.900
14	1481.300
14	2469.700
14	3071.000
14	3389.100
14	7498.000
14	8072.000
14	8712.500
14	9990.601
15	2852.800
15	2978.900
15	5017.100
15	5810.300
15	9891.900
16	460.900
16	1897.200
16	1947.000
16	4716.600
16	6012.900
16	6048.900
16	6625.200
16	7340.400
16	7559.800
16	9037.200
16	9658.400
17	522.500
17	2661.900
17	3182.100
17	6205.800
17	8943.000
18	755.300
18	817.000
18	848.300
18	1141.600
18	1173.900
18	5053.200
18	5441.200
18	5712.400
18	5857.900
18	6393.700
18	6613.300
18	7809.000
18	8401.301
18	8456.500
18	8712.700
18	8850.700
18	9048.000
18	9989.500
19	4542.300
19	6180.500
20	254.600
20	2250.600
20	2301.700
20	5006.600
20	7535.800
21	413.300
21	1749.700
21	1934.400
21	5230.700
21	6523.500
21	9891.200
21	10236.101
21	10514.700
21	10740.000
22	485.900
22	546.800
22	670.400
22	816.000
22	1102.300
22	1140.700
22	1339.400
22	1787.600
22	1860.200
22	2990.700
22	3386.900
22	3444.900
22	4565.800
22	5253.800
22	5443.700
22	5610.200
22	5795.600
